subject,session,trial_type,f1,f2
def-1-16-08,1,cr,94,94
def-1-16-08,1,cr,94,94
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,44,44
def-1-16-08,1,cr,44,44
def-1-16-08,1,cr,27,27
def-1-16-08,1,cr,50,50
def-1-16-08,1,cr,13,13
def-1-16-08,1,cr,13,13
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,1578,1578
def-1-16-08,1,cr,121,121
def-1-16-08,1,cr,121,121
def-1-16-08,1,cr,36,36
def-1-16-08,1,cr,36,36
def-1-16-08,1,cr,150,150
def-1-16-08,1,cr,664,664
def-1-16-08,1,cr,664,664
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,76,76
def-1-16-08,1,cr,76,76
def-1-16-08,1,cr,76,76
def-1-16-08,1,cr,52,52
def-1-16-08,1,cr,52,52
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,38,38
def-1-16-08,1,cr,38,38
def-1-16-08,1,cr,31,31
def-1-16-08,1,cr,31,31
def-1-16-08,1,cr,31,31
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,532,532
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,224,224
def-1-16-08,1,cr,224,224
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,116,116
def-1-16-08,1,cr,116,116
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,35,35
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,444,444
def-1-16-08,1,cr,444,444
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,12,12
def-1-16-08,1,cr,12,12
def-1-16-08,1,cr,12,12
def-1-16-08,1,cr,12,12
def-1-16-08,1,cr,570,570
def-1-16-08,1,cr,570,570
def-1-16-08,1,cr,570,570
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,268,268
def-1-16-08,1,cr,268,268
def-1-16-08,1,cr,3909,3909
